"county_id","county_name","state_name","srhp_rural","year","total_pop","over_65","under_18","hispanic","black","no_ba","unempl","in_pov","median_hh_income","no_health_ins","snap","rent_under_30","have_internet_sub","gini","total_jobs","perc_ba_jobs","perc_jobs_young_firms","bphigh_crudeprev","cancer_crudeprev","highchol_crudeprev","obesity_crudeprev","diabetes_crudeprev","mhlth_crudeprev","phlth_crudeprev","health_access","HealthDistrict","region_type","health_district","name","id"
"51001","Accomack","Virginia","rural","2015",33115,20.4681,20.9573,8.7845,28.6758,81.2262,6.7123,19.5936,39412,17.4723,14.7482,45.3983,62.7735,0.4624,11618,0.1773,0.0693,42.6,8.7,40.7,39.5,16.9,14.6,16.9,0.2147,"Eastern Shore","rural","Eastern Shore","Accomack","51001"
"51001","Accomack","Virginia","rural","2016",33060,20.9558,20.9074,8.8022,28.9564,81.6646,6.9619,19.4581,38503,17.9515,15.7826,40.2231,62.7735,0.4662,11670,0.1733,0.0788,42.6,8.7,40.7,39.5,16.9,14.6,16.9,0.0384,"Eastern Shore","rural","Eastern Shore","Accomack","51001"
"51001","Accomack","Virginia","rural","2017",32840,21.416,20.9166,8.8337,28.3983,80.4355,5.3694,19.8361,42260,16.7139,14.9542,41.5805,62.7735,0.4551,11824,0.1762,0.0659,42.6,8.7,40.7,39.5,16.9,14.6,16.9,0.5114,"Eastern Shore","rural","Eastern Shore","Accomack","51001"
"51001","Accomack","Virginia","rural","2018",32742,21.9015,21.0158,8.961,29.2407,81.4537,4.1716,19.8728,43210,16.7736,14.5735,44.3593,64.3609,0.4382,12023,0.1708,0,42.6,8.7,40.7,39.5,16.9,14.6,16.9,0.8367,"Eastern Shore","rural","Eastern Shore","Accomack","51001"
"51001","Accomack","Virginia","rural","2019",32673,22.7221,21.1612,8.9646,28.5587,80.5335,3.8638,18.9977,46073,16.6259,12.8814,45.2141,69.1249,0.448,12023,0.1708,0,42.6,8.7,40.7,39.5,16.9,14.6,16.9,0.0874,"Eastern Shore","rural","Eastern Shore","Accomack","51001"
"51003","Albemarle","Virginia","urban","2015",103108,15.8804,21.0459,5.6746,9.3669,48.3448,3.7314,10.1879,68449,8.1137,5.248,45.9844,83.3912,0.4817,50632,0.2791,0.0826,30.7,7.6,33.5,26.5,9.4,11.3,10.6,0.8487,"Thomas Jefferson","urban","Thomas Jefferson","Albemarle","51003"
"51003","Albemarle","Virginia","urban","2016",104287,16.4546,20.8281,5.5923,9.3463,48.4663,3.2225,9.685,70342,7.9844,4.9834,47.1799,83.3912,0.4709,51909,0.2864,0.085,30.7,7.6,33.5,26.5,9.4,11.3,10.6,0.2059,"Thomas Jefferson","urban","Thomas Jefferson","Albemarle","51003"
"51003","Albemarle","Virginia","urban","2017",105105,16.6709,20.6822,5.7,9.5638,47.7059,3.1712,9.8179,72265,7.5599,4.9656,47.9527,83.3912,0.4716,52914,0.2851,0.094,30.7,7.6,33.5,26.5,9.4,11.3,10.6,0.1978,"Thomas Jefferson","urban","Thomas Jefferson","Albemarle","51003"
"51003","Albemarle","Virginia","urban","2018",106355,17.3447,20.4353,5.7994,9.7551,46.4626,2.8525,9.7835,75394,7.3227,4.9419,47.6644,85.226,0.4809,55255,0.2869,0,30.7,7.6,33.5,26.5,9.4,11.3,10.6,0.3931,"Thomas Jefferson","urban","Thomas Jefferson","Albemarle","51003"
"51003","Albemarle","Virginia","urban","2019",107405,18.0066,20.2253,5.7725,9.5387,44.8634,2.539,9.1153,79880,6.7193,3.8895,49.1301,85.8637,0.4794,55255,0.2869,0,30.7,7.6,33.5,26.5,9.4,11.3,10.6,0.6502,"Thomas Jefferson","urban","Thomas Jefferson","Albemarle","51003"
