"county_id","census_tract_fips","tract_name","county_name","state_name","srhp_rural","year","total_pop","over_65","under_18","hispanic","black","no_ba","unempl","in_pov","median_hh_income","no_health_ins","snap","rent_under_30","have_internet_sub","gini","total_jobs","perc_ba_jobs","perc_jobs_young_firms","bphigh_crudeprev","cancer_crudeprev","highchol_crudeprev","obesity_crudeprev","diabetes_crudeprev","mhlth_crudeprev","phlth_crudeprev","health_access","region_type","health_district","name","id"
"51001","51001090100","Census Tract 901","Accomack","Virginia","rural","2015",2930,30.5802,15.3584,1.2969,2.628,72.973,7.1282,9.532,47438,8.6717,5.7061,52.7687,75.6852,0.4513,908,0.1399,0.1222,38.4,9.8,41.2,33.4,13,12.5,13.9,0.1342,"rural","Eastern Shore","Census Tract 901","51001090100"
"51001","51001090100","Census Tract 901","Accomack","Virginia","rural","2016",2919,28.0233,15.2449,1.2676,3.3231,76.8064,7.8668,10.9575,47414,13.2389,8.2489,52.7273,75.6852,0.4347,1047,0.149,0.1328,38.4,9.8,41.2,33.4,13,12.5,13.9,0.8737,"rural","Eastern Shore","Census Tract 901","51001090100"
"51001","51001090100","Census Tract 901","Accomack","Virginia","rural","2017",2903,28.6945,13.3999,0.7234,4.4092,74.4096,6.3194,11.0223,48861,13.3519,8.6437,61.7486,75.6852,0.4221,1022,0.137,0.1409,38.4,9.8,41.2,33.4,13,12.5,13.9,0.8169,"rural","Eastern Shore","Census Tract 901","51001090100"
"51001","51001090100","Census Tract 901","Accomack","Virginia","rural","2018",2899,33.5978,11.3832,3.4495,0.4139,71.5559,6.7416,9.0592,48639,8.8502,8.4701,61.1732,75.7058,0.4609,1026,0.1101,0,38.4,9.8,41.2,33.4,13,12.5,13.9,0.9758,"rural","Eastern Shore","Census Tract 901","51001090100"
"51001","51001090100","Census Tract 901","Accomack","Virginia","rural","2019",2899,31.9076,13.0735,3.1735,0.4139,72.3166,6.59,9.7213,52848,8.471,9.0968,61.7284,80.3119,0.483,1026,0.1101,0,38.4,9.8,41.2,33.4,13,12.5,13.9,0.1926,"rural","Eastern Shore","Census Tract 901","51001090100"
"51001","51001090200","Census Tract 902","Accomack","Virginia","rural","2015",6505,16.6949,23.7202,5.0884,25.6572,75.749,2.6825,18.6891,45521,9.3389,8.7949,53.7549,61.5689,0.4266,2249,0.1187,0.0409,40,7.6,38.4,38.5,14.6,14.6,15.1,0.6218,"rural","Eastern Shore","Census Tract 902","51001090200"
"51001","51001090200","Census Tract 902","Accomack","Virginia","rural","2016",6407,19.8377,22.7095,4.2766,30.6071,78.0142,2.2591,14.9984,39130,8.7308,12.3578,50.7747,61.5689,0.4221,2425,0.1699,0.0375,40,7.6,38.4,38.5,14.6,14.6,15.1,0.1336,"rural","Eastern Shore","Census Tract 902","51001090200"
"51001","51001090200","Census Tract 902","Accomack","Virginia","rural","2017",6353,21.5646,21.7063,4.9898,28.9312,75.1998,2.6391,13.6263,42663,9.402,13.8273,49.2898,61.5689,0.4078,2564,0.1712,0.0374,40,7.6,38.4,38.5,14.6,14.6,15.1,0.1538,"rural","Eastern Shore","Census Tract 902","51001090200"
"51001","51001090200","Census Tract 902","Accomack","Virginia","rural","2018",5960,24.0268,18.5738,3.7416,28.7919,78.3671,1.5264,13.4223,41341,11.3456,16.348,41.3699,57.9789,0.3641,3051,0.197,0,40,7.6,38.4,38.5,14.6,14.6,15.1,0.8463,"rural","Eastern Shore","Census Tract 902","51001090200"
"51001","51001090200","Census Tract 902","Accomack","Virginia","rural","2019",5771,28.7472,16.0804,5.3197,28.5046,79.209,1.886,10.5456,40779,9.2485,11.0092,36.1761,61.7471,0.3742,3051,0.197,0,40,7.6,38.4,38.5,14.6,14.6,15.1,0.287,"rural","Eastern Shore","Census Tract 902","51001090200"
"51001","51001090300","Census Tract 903","Accomack","Virginia","rural","2015",2458,19.9349,19.4874,6.6721,21.2368,93.2687,5.1367,22.9702,33571,18.633,21.243,30.2115,52.6168,0.4274,103,0.1068,0.0485,41.2,7.8,40.3,40.5,16.1,16.9,18.4,0.8981,"rural","Eastern Shore","Census Tract 903","51001090300"
"51001","51001090300","Census Tract 903","Accomack","Virginia","rural","2016",2456,20.684,17.4674,6.4332,19.7476,92.2714,10.3283,24.0506,31625,23.0863,18.9671,29.805,52.6168,0.4561,115,0.1304,0.0783,41.2,7.8,40.3,40.5,16.1,16.9,18.4,0.1996,"rural","Eastern Shore","Census Tract 903","51001090300"
"51001","51001090300","Census Tract 903","Accomack","Virginia","rural","2017",2299,22.749,14.702,6.0026,15.137,90.117,9.6539,24.3444,32532,19.7042,18.785,31.4208,52.6168,0.5014,118,0.1441,0.1186,41.2,7.8,40.3,40.5,16.1,16.9,18.4,0.6255,"rural","Eastern Shore","Census Tract 903","51001090300"
"51001","51001090300","Census Tract 903","Accomack","Virginia","rural","2018",2527,17.966,18.7178,6.6878,20.7756,91.3377,9.5947,22.6243,36806,23.7436,22.429,44.0233,56.4153,0.4778,129,0.1085,0,41.2,7.8,40.3,40.5,16.1,16.9,18.4,0.3462,"rural","Eastern Shore","Census Tract 903","51001090300"
