,Item,Price,Other_Info,Location,Store
0,Giant Whole Vitamin D Milk,3.79,1 gallon | $0.03 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
1,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"2501 9th Road South, Arlington, VA 22204",Giant
2,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
3,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
4,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
5,Apples Gala,1.07,1 ea | $1.07 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
6,Butterball Ground Turkey 85% Lean All Natural,3.79,16 oz pkg | $3.79 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
7,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
8,Giant Sweet Cream Butter Salted Sticks - 4 ct,3.19,1 lb box | $3.19 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
9,Giant Potatoes Russet,2.99,5 lb bag | $0.04 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
10,Oranges Navel,0.88,1 ea | $0.88 / ea,"2501 9th Road South, Arlington, VA 22204",Giant
11,Giant Tomato Sauce,0.49,8 oz can | $0.06 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
12,Giant Ground Beef 80% Lean Fresh,4.79,apx 1.2 lb | $3.99 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
13,Giant 4 Cheese Mexican Blend Finely Shredded Natural,2.0,8 oz bag | $4.00 / lb,"2501 9th Road South, Arlington, VA 22204",Giant
14,Giant Yogurt Vanilla Non Fat,2.19,32 oz tub | $0.07 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
15,Giant Cereal Shredded Wheat Frosted Bite Size,2.49,18 oz box | $0.14 / oz,"2501 9th Road South, Arlington, VA 22204",Giant
16,Giant Whole Vitamin D Milk,3.79,1 gallon | $0.03 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
17,Giant White Eggs Grade A Large,1.49,1.5 doz | $0.99 / doz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
18,Giant Bagels Plain Pre-Sliced - 6 ct,2.49,20 oz pkg | $0.12 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
19,Giant Sandwich White Enriched Bread,0.99,20 oz pkg | $0.05 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
20,Giant Pasta Penne Rigate,0.99,16 oz box | $0.06 / oz,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
21,Apples Gala,1.07,1 ea | $1.07 / ea,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
22,Butterball Ground Turkey 85% Lean All Natural,3.79,16 oz pkg | $3.79 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
23,Giant Honey Smoked Uncured Ham Thin Sliced,2.99,9 oz tub | $5.34 / lb,"2901-11 S. Glebe Rd., Arlington, VA 22206",Giant
